service_id,date,exception_type
holiday,20260101,1
weekday,20260101,2
holiday,20260106,1
weekday,20260106,2
holiday,20260216,1
weekday,20260216,2
holiday,20260217,1
weekday,20260217,2
holiday,20260402,1
weekday,20260402,2
holiday,20260403,1
weekday,20260403,2
holiday,20260419,1
sunday,20260419,2
holiday,20260501,1
weekday,20260501,2
holiday,20260518,1
weekday,20260518,2
holiday,20260619,1
weekday,20260619,2
holiday,20260718,1
saturday,20260718,2
holiday,20260825,1
weekday,20260825,2
holiday,20261012,1
weekday,20261012,2
holiday,20261102,1
weekday,20261102,2
holiday,20261225,1
weekday,20261225,2
