shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
3-out,-34.470689,-57.852195,1
3-out,-34.470689,-57.852195,2
3-out,-34.470689,-57.852195,3
3-out,-34.470689,-57.852195,4
3-out,-34.470689,-57.852195,5
3-out,-34.470660,-57.852177,6
3-out,-34.470660,-57.852177,7
3-out,-34.470660,-57.852177,8
3-out,-34.470660,-57.852177,9
3-out,-34.470660,-57.852177,10
3-out,-34.470660,-57.852177,11
3-out,-34.470660,-57.852162,12
3-out,-34.470660,-57.852162,13
3-out,-34.470660,-57.852162,14
3-out,-34.470660,-57.852162,15
3-out,-34.470660,-57.852162,16
3-out,-34.470660,-57.852162,17
3-out,-34.470663,-57.852157,18
3-out,-34.470663,-57.852157,19
3-out,-34.470671,-57.852123,20
3-out,-34.470665,-57.851807,21
3-out,-34.470636,-57.850838,22
3-out,-34.470610,-57.849622,23
3-out,-34.470605,-57.847885,24
3-out,-34.470603,-57.847398,25
3-out,-34.470630,-57.847363,26
3-out,-34.470535,-57.845118,27
3-out,-34.470511,-57.844088,28
3-out,-34.470499,-57.843950,29
3-out,-34.470492,-57.843005,30
3-out,-34.470472,-57.842949,31
3-out,-34.470444,-57.840852,32
3-out,-34.470471,-57.840792,33
3-out,-34.469515,-57.840502,34
3-out,-34.467552,-57.840586,35
3-out,-34.465856,-57.840659,36
3-out,-34.462961,-57.840730,37
3-out,-34.462921,-57.840722,38
3-out,-34.462880,-57.838850,39
3-out,-34.462880,-57.838850,40
3-out,-34.462880,-57.838850,41
3-out,-34.462866,-57.838560,42
3-out,-34.463327,-57.835869,43
3-out,-34.463621,-57.834768,44
3-out,-34.463564,-57.834545,45
3-out,-34.461982,-57.834153,46
3-out,-34.462035,-57.833400,47
3-out,-34.459322,-57.833172,48
3-out,-34.457890,-57.833313,49
3-out,-34.456891,-57.833419,50
3-out,-34.455990,-57.833367,51
3-out,-34.458037,-57.829856,52
3-out,-34.458037,-57.829856,53
3-out,-34.458108,-57.829463,54
3-out,-34.456291,-57.832287,55
3-out,-34.454853,-57.836721,56
3-out,-34.453028,-57.836948,57
3-out,-34.451747,-57.837122,58
3-out,-34.451584,-57.837129,59
3-out,-34.451608,-57.839149,60
3-out,-34.451594,-57.839168,61
3-out,-34.450183,-57.838752,62
3-out,-34.447341,-57.837923,63
3-out,-34.447639,-57.838894,64
3-out,-34.446123,-57.839735,65
3-out,-34.445173,-57.837351,66
3-out,-34.441880,-57.837837,67
3-in,-34.440291,-57.838448,1
3-in,-34.440310,-57.838485,2
3-in,-34.441679,-57.841436,3
3-in,-34.441750,-57.841526,4
3-in,-34.442456,-57.843066,5
3-in,-34.441420,-57.843881,6
3-in,-34.441735,-57.846082,7
3-in,-34.441570,-57.846239,8
3-in,-34.441277,-57.849003,9
3-in,-34.441353,-57.849793,10
3-in,-34.441443,-57.852218,11
3-in,-34.441586,-57.853527,12
3-in,-34.441586,-57.853527,13
3-in,-34.441584,-57.853560,14
3-in,-34.441157,-57.853818,15
3-in,-34.439041,-57.854853,16
3-in,-34.438988,-57.854465,17
3-in,-34.438900,-57.853168,18
3-in,-34.438900,-57.853168,19
3-in,-34.438916,-57.853132,20
3-in,-34.440690,-57.850492,21
3-in,-34.440690,-57.850492,22
3-in,-34.440713,-57.850470,23
3-in,-34.441385,-57.849690,24
3-in,-34.441119,-57.848992,25
3-in,-34.441119,-57.848992,26
3-in,-34.439734,-57.845726,27
3-in,-34.438655,-57.843489,28
3-in,-34.438628,-57.843477,29
3-in,-34.437092,-57.840306,30
3-in,-34.436818,-57.838851,31
3-in,-34.440174,-57.838219,32
3-in,-34.442760,-57.837718,33
3-in,-34.445415,-57.838033,34
3-in,-34.446412,-57.839667,35
3-in,-34.447668,-57.838814,36
3-in,-34.447355,-57.837924,37
3-in,-34.449830,-57.838690,38
3-in,-34.449864,-57.838699,39
3-in,-34.451728,-57.839151,40
3-in,-34.451854,-57.837134,41
3-in,-34.453109,-57.837014,42
3-in,-34.453143,-57.837016,43
3-in,-34.454839,-57.836794,44
3-in,-34.455513,-57.835054,45
3-in,-34.456392,-57.832308,46
3-in,-34.458018,-57.829889,47
3-in,-34.458151,-57.829421,48
3-in,-34.456353,-57.832157,49
3-in,-34.457014,-57.833494,50
3-in,-34.457071,-57.833478,51
3-in,-34.459177,-57.833283,52
3-in,-34.459177,-57.833283,53
3-in,-34.463661,-57.833824,54
3-in,-34.462874,-57.837098,55
3-in,-34.462618,-57.837987,56
3-in,-34.462624,-57.838142,57
3-in,-34.462625,-57.838190,58
3-in,-34.462658,-57.840770,59
3-in,-34.462732,-57.842823,60
3-in,-34.463959,-57.842959,61
3-in,-34.464708,-57.842919,62
3-in,-34.466619,-57.842914,63
3-in,-34.468485,-57.842830,64
3-in,-34.470534,-57.842752,65
3-in,-34.472030,-57.842708,66
3-in,-34.472204,-57.842558,67
3-in,-34.470594,-57.840680,68
3-in,-34.470251,-57.840564,69
3-in,-34.470381,-57.842647,70
3-in,-34.470389,-57.842673,71
3-in,-34.470414,-57.844601,72
3-in,-34.470441,-57.844864,73
3-in,-34.470477,-57.847081,74
3-in,-34.470475,-57.847135,75
4-out,-34.470699,-57.852178,1
4-out,-34.470699,-57.852178,2
4-out,-34.470699,-57.852178,3
4-out,-34.470699,-57.852178,4
4-out,-34.470699,-57.852178,5
4-out,-34.470749,-57.852172,6
4-out,-34.470749,-57.852172,7
4-out,-34.470749,-57.852172,8
4-out,-34.470749,-57.852172,9
4-out,-34.470749,-57.852172,10
4-out,-34.470749,-57.852172,11
4-out,-34.470737,-57.852162,12
4-out,-34.470737,-57.852162,13
4-out,-34.470737,-57.852162,14
4-out,-34.470737,-57.852162,15
4-out,-34.470737,-57.852162,16
4-out,-34.470737,-57.852162,17
4-out,-34.470723,-57.852196,18
4-out,-34.470723,-57.852196,19
4-out,-34.470723,-57.852196,20
4-out,-34.470723,-57.852196,21
4-out,-34.470723,-57.852196,22
4-out,-34.470712,-57.852140,23
4-out,-34.470712,-57.852140,24
4-out,-34.470712,-57.852140,25
4-out,-34.470711,-57.852136,26
4-out,-34.470711,-57.852136,27
4-out,-34.470711,-57.852136,28
4-out,-34.470711,-57.852136,29
4-out,-34.470711,-57.852136,30
4-out,-34.470711,-57.852136,31
4-out,-34.470685,-57.852126,32
4-out,-34.470685,-57.852126,33
4-out,-34.470685,-57.852126,34
4-out,-34.470685,-57.852126,35
4-out,-34.470685,-57.852126,36
4-out,-34.470685,-57.852126,37
4-out,-34.470683,-57.852119,38
4-out,-34.470683,-57.852119,39
4-out,-34.470683,-57.852119,40
4-out,-34.470679,-57.852095,41
4-out,-34.470610,-57.851081,42
4-out,-34.470616,-57.849645,43
4-out,-34.470629,-57.849589,44
4-out,-34.470601,-57.847432,45
4-out,-34.470601,-57.847432,46
4-out,-34.470601,-57.847432,47
4-out,-34.470601,-57.847432,48
4-out,-34.470582,-57.847300,49
4-out,-34.470542,-57.845104,50
