stop_id,stop_name,stop_lat,stop_lon
1,Real,-34.470684,-57.852208
10,Italia,-34.463237,-57.840281
101,E Frugoni,-34.457412,-57.833414
102,Blandengues,-34.459509,-57.833259
103,Exodo,-34.461704,-57.833576
104,J Moran,-34.463198,-57.835839
105,Av A Saravia,-34.462771,-57.838615
106,Piedra Alta,-34.463241,-57.831988
107,Dr F Bassahun,-34.461071,-57.827679
108,Parque Ferrando,-34.466522,-57.831303
109,Dr L Cassanello,-34.469018,-57.830004
11,Av Jose P Varela,-34.462984,-57.837917
110,G Ortiz,-34.468575,-57.826244
111,Araucaria,-34.467933,-57.824252
112,Libano,-34.466011,-57.824395
113,G Ayala,-34.463759,-57.823915
114,R Ayala,-34.461503,-57.823089
115,Los Nogales,-34.457343,-57.819389
116,Ruta 1,-34.455241,-57.815852
118,F J Carballo,-34.452766,-57.815692
119,Municipio,-34.450816,-57.815161
120,10 de Mayo,-34.450242,-57.815554
121,Curva,-34.448142,-57.814116
122,Hogar Nimmo,-34.446713,-57.812272
123,Plaza El General,-34.444545,-57.809706
124,Comp Los Alamos,-34.445936,-57.809475
125,Covideco I,-34.448705,-57.807580
126,Viv Policiales,-34.449736,-57.804849
127,Juan Bernardi,-34.449121,-57.803628
128,Juan Bernardi,-34.447222,-57.802638
129,Covimalvinas,-34.445935,-57.804064
130,Covimalvinas,-34.444864,-57.805941
131,D Villanueva,-34.443115,-57.807735
132,Escuela 82,-34.441571,-57.805886
133,M Fernandez,-34.440395,-57.803634
134,A Colo,-34.438054,-57.802914
135,F J Carballo,-34.437048,-57.802403
136,F J Carballo,-34.435147,-57.801444
138,F J Carballo,-34.435785,-57.801784
139,F J Carballo,-34.436945,-57.802385
140,A Colo,-34.438828,-57.803368
141,M Fernandez,-34.440724,-57.804918
142,Escuela 82,-34.442428,-57.807042
143,Juan Bernardi,-34.443884,-57.808927
144,Plaza El General,-34.445422,-57.811011
145,Hogar Nimmo,-34.447048,-57.813090
146,Curva,-34.448502,-57.814597
147,10 de Mayo,-34.449981,-57.815074
148,Municipio,-34.451458,-57.815503
149,17 Metros,-34.453383,-57.816073
150,Ruta 1,-34.456157,-57.817861
151,Ruta 1,-34.462096,-57.828732
152,R Ayala,-34.462463,-57.823494
153,G Ayala,-34.464656,-57.824139
154,Libano,-34.466749,-57.824330
155,Dr L Cassanello,-34.467939,-57.824641
156,G Ortiz,-34.468713,-57.828053
157,Dr L Cassanello,-34.467877,-57.831241
158,Parque Ferrando,-34.462675,-57.829167
160,Dr F Bassahun,-34.462502,-57.830386
161,Piedra Alta,-34.463313,-57.833202
176,F J Carballo,-34.450124,-57.815128
177,R1 / Jose Vico,-34.459816,-57.824670
178,Av Cbo L Sanchez,-34.461915,-57.828581
179,Los Nogales,-34.457270,-57.819857
180,Genoveva Detjen,-34.443937,-57.791250
181,Elisa Dawson,-34.443621,-57.794049
182,Elma Mourglia,-34.443108,-57.797132
183,Nuevo Hospital,-34.458045,-57.829252
197,Santiago Gadea,-34.440949,-57.838062
198,Municipio / R21,-34.451308,-57.839036
199,R21 / Municipio,-34.451539,-57.838906
2,Ituzaingo,-34.470613,-57.849220
200,Corrales de Abas,-34.433885,-57.800905
205,Elma Mourglia,-34.443513,-57.795150
206,Elisa Dawson,-34.443725,-57.793307
208,B Brum,-34.463316,-57.833840
216,Ruta 1,-34.460373,-57.824348
218,Areguati,-34.441804,-57.841803
220,M Melendez,-34.441905,-57.847594
221,A Sierra,-34.441409,-57.850486
223,R Ortiz,-34.440823,-57.848343
224,Cont C Rojas,-34.436958,-57.840074
226,Liceo 2,-34.441279,-57.853681
227,A Rebufat,-34.439210,-57.854349
232,Viv Los Ceibos,-34.442657,-57.837736
233,Co Vi ADEOM,-34.442588,-57.799041
234,Co Vi ADEOM,-34.441255,-57.802050
3,Int Suarez,-34.470575,-57.847071
4,A Mendez,-34.470517,-57.844844
48,Luis Peralta,-34.439338,-57.852415
49,D Maddalena,-34.440877,-57.850169
5,Av Gral Artigas,-34.470584,-57.842887
6,Av Buenos Aires,-34.471231,-57.842097
61,Av Domingo Baque,-34.462690,-57.840956
62,Av Gral Artigas,-34.463221,-57.842721
63,Mangarelli,-34.465036,-57.842943
64,Dayman,-34.466897,-57.842886
65,Fosalba,-34.468574,-57.840618
66,A Mendez,-34.470442,-57.845250
67,Int Suarez,-34.470502,-57.847639
69,Rosenthal,-34.463333,-57.833819
7,Rivadavia,-34.469236,-57.840562
71,Exodo,-34.460796,-57.833249
72,Bandengues,-34.458716,-57.833254
73,Ramon Barbot,-34.456692,-57.832722
75,Av Batlle Y Ordo,-34.455297,-57.835206
76,Victoria,-34.454355,-57.836750
77,Democracia,-34.452876,-57.836998
78,Municipio,-34.451659,-57.837447
79,P Zufriategui,-34.449377,-57.838512
8,Cnel Arroyo,-34.467466,-57.840584
80,Ruta 21,-34.446774,-57.838648
81,M Freire,-34.446027,-57.839273
82,Ruta 21,-34.444823,-57.837460
85,Juan Spikerman,-34.441933,-57.843924
88,Avelino Miranda,-34.439581,-57.845466
89,Calle 17 Metros,-34.438167,-57.842577
9,Rio Negro,-34.465524,-57.840652
90,Ruta 21,-34.437063,-57.838988
91,Viv Los Ceibos,-34.443908,-57.837558
92,Ruta 21,-34.445311,-57.838224
93,M Freire,-34.446801,-57.839226
94,Ruta 21,-34.448085,-57.838224
95,P Zufriategui,-34.450174,-57.838811
96,Municipio,-34.451794,-57.837203
97,Democracia,-34.453253,-57.836976
98,Victoria,-34.454812,-57.836584
99,Independencia,-34.456089,-57.833499
